International Designator,Launch Vehicle,Payload,Country,Launch date
1964-009,OPS 2423 DEB,OPS 2423,US,1964-02-25
1964-010,SL-7 R/B|SL-7 DEB,COSMOS 25,CIS,1964-02-27
1964-011,OPS 3722 DEB,OPS 3722,US,1964-02-28
1964-012,ATLAS AGENA D R/B,OPS 3435,US,1964-03-11
1964-013,SL-7 R/B|SL-7 DEB,COSMOS 26,CIS,1964-03-18
1964-014,SL-6 R/B|SL-6 DEB,COSMOS 27,CIS,1964-03-27
1964-015,SCOUT X-3 R/B|SCOUT X-3 DEB,ARIEL 2 (UK-2),UK,1964-03-27
1964-016,SL-6 PLAT|SL-6 R/B|SL-6 DEB,ZOND 1,CIS,1964-04-02
1964-017,SL-3 R/B|SL-3 DEB,COSMOS 28,CIS,1964-04-04
1964-018,N/A,GEMINI 1,US,1964-04-08
1964-019,SL-5 R/B,POLYOT 2,CIS,1964-04-12
1964-020,OPS 3743 DEB,OPS 3743,US,1964-04-23
1964-021,SL-3 R/B|SL-3 DEB,COSMOS 29,CIS,1964-04-25
1964-022,N/A,OPS 2921,US,1964-04-27
1964-023,SL-3 R/B,COSMOS 30,CIS,1964-05-18
1964-024,N/A,OPS 3592,US,1964-05-19
1964-025,N/A,APOLLO MODEL 1,US,1964-05-28
1964-026,SCOUT X-4 DEB|SCOUT X-4 R/B|SCOUT X-4 DEB|TRANSIT 9 DEB,OPS 4412 (TRANSIT 9),US,1964-06-04
1964-027,N/A,OPS 3483,US,1964-06-04
1964-028,SL-7 R/B,COSMOS 31,CIS,1964-06-06
1964-029,SL-3 R/B|SL-3 DEB,COSMOS 32,CIS,1964-06-10
1964-030,OPS 3236 DEB,OPS 3236 (STARFLASH 1A),US,1964-06-13
1964-031,THOR AGENA D R/B,OPS 4467 A|OPS 4467 B,US,1964-06-18
1964-032,OPS 3754 DEB,OPS 3754,US,1964-06-19
1964-033,SL-3 R/B|SL-3 DEB,COSMOS 33,CIS,1964-06-23
1964-034,SL-3 R/B,COSMOS 34,CIS,1964-07-01
1964-035,N/A,OPS 3395,US,1964-07-02
1964-036,OPS 4923 DEB,OPS 3684|OPS 4923,US,1964-07-06
1964-037,N/A,OPS 3491,US,1964-07-10
1964-038,ELEKTRON 3 DEB|SL-3 R/B|ELEKTRON 3 DEB,ELEKTRON 3|ELEKTRON 4,CIS,1964-07-10
1964-039,SL-3 R/B|SL-3 DEB,COSMOS 35,CIS,1964-07-15
1964-040,N/A,OPS 3662 (VELA 3)|OPS 3674 (VELA 4)|ERS 13,US,1964-07-17
1964-041,ATLAS AGENA B R/B,RANGER 7,US,1964-07-28
1964-042,SL-7 R/B,COSMOS 36,CIS,1964-07-30
1964-043,N/A,OPS 3042,US,1964-08-05
1964-044,SL-3 R/B,COSMOS 37,CIS,1964-08-14
1964-045,ATLAS AGENA D R/B,OPS 3802|OPS 3316,US,1964-08-14
1964-046,SL-8 R/B|SL-8 DEB,COSMOS 38|COSMOS 39|COSMOS 40,CIS,1964-08-18
1964-047,DELTA 1 R/B,SYNCOM 3,US,1964-08-19
1964-048,N/A,OPS 2739 (STARFLASH 1B),US,1964-08-21
1964-049,SL-6 R/B(1)|SL-6 DEB|SL-6 R/B(2)|COSMOS 41 DEB,COSMOS 41,CIS,1964-08-22
1964-050,SL-7 R/B,COSMOS 42|COSMOS 43,CIS,1964-08-22
1964-051,SCOUT X-4 R/B|SCOUT X-4 DEB,EXPLORER 20,US,1964-08-25
1964-052,THOR AGENA B R/B,NIMBUS 1,US,1964-08-28
1964-053,SL-3 R/B|SL-3 DEB,COSMOS 44,CIS,1964-08-28
1964-054,N/A,OGO 1,US,1964-09-05
1964-055,SL-3 R/B,COSMOS 45,CIS,1964-09-13
1964-056,OPS 3497 DEB,OPS 3497,US,1964-09-14
1964-057,N/A,APOLLO MODEL 2,US,1964-09-18
1964-058,ATLAS AGENA D R/B,OPS 4262,US,1964-09-23
1964-059,SL-3 R/B,COSMOS 46,CIS,1964-09-24
1964-060,N/A,EXPLORER 21 (IMP-2),US,1964-10-04
1964-061,N/A,OPS 3333,US,1964-10-05
1964-062,SL-4 R/B|SL-4 DEB,COSMOS 47,CIS,1964-10-06
1964-063,THOR ABLESTAR R/B|OPS 5798 DEB,OPS 5798 (TRANSIT 5B-4)|CALSPHERE 1|CALSPHERE 2,US,1964-10-06
1964-064,SCOUT X-4 R/B|SCOUT X-4 DEB,EXPLORER 22,US,1964-10-10
1964-065,SL-4 R/B|SL-4 DEB,VOSKHOD 1,CIS,1964-10-12
1964-066,SL-3 R/B|COSMOS 48 DEB,COSMOS 48,CIS,1964-10-14
1964-067,N/A,OPS 3559,US,1964-10-17
1964-068,OPS 4384 DEB,OPS 4384|OPS 5063,US,1964-10-23
1964-069,SL-7 R/B|SL-7 DEB,COSMOS 49,CIS,1964-10-24
1964-070,COSMOS 50 DEB|SL-3 R/B|COSMOS 50 DEB|SL-3 DEB|COSMOS 50 DEB|SL-3 DEB|COSMOS 50 DEB,COSMOS 50,CIS,1964-10-28
1964-071,N/A,OPS 5434,US,1964-11-02
1964-072,OPS 3062 DEB,OPS 3062,US,1964-11-04
1964-073,N/A,MARINER 3,US,1964-11-05
1964-074,EXPLORER 23 DEB,EXPLORER 23,US,1964-11-06
1964-075,N/A,OPS 3360 (ORBIS),US,1964-11-18
1964-076,SCOUT X-4 R/B|SCOUT X-4 DEB,EXPLORER 24 (ADI-2)|EXPLORER 25 (INJUN 4),US,1964-11-21
1964-077,ATLAS AGENA D R/B,MARINER 4,US,1964-11-28
1964-078,SL-6 R/B|SL-6 PLAT,ZOND 2,CIS,1964-11-30
1964-079,N/A,OPS 4439,US,1964-12-04
1964-080,SL-7 R/B|SL-7 DEB,COSMOS 51,CIS,1964-12-09
1964-081,N/A,TITAN 3A TRANSTAGE R/B,US,1964-12-10
1964-082,N/A,ATLAS CENTAUR R/B,US,1964-12-11
1964-083,THOR ABLESTAR R/B|THOR ABLESTAR DEB|TRANSIT 5E-5 DEB,OPS 6582 (TRANSIT 5E-5)|OPS 6582 (TRANSIT 5B-5),US,1964-12-13
1964-084,SCOUT X-4 R/B|SCOUT X-4 DEB,SAN MARCO 1,IT,1964-12-15
1964-085,N/A,OPS 3358,US,1964-12-19
1964-086,DELTA 1 DEB|DELTA 1 R/B|DELTA 1 DEB,EXPLORER 26 (EPE-D),US,1964-12-21
1964-087,N/A,OPS 3762,US,1964-12-21
1965-001,SL-3 R/B|SL-3 DEB,COSMOS 52,CIS,1965-01-11
1965-002,OPS 3928 DEB,OPS 3928,US,1965-01-15
1965-003,OPS 7040 DEB,OPS 7040,US,1965-01-19
1965-004,DELTA 1 R/B|DELTA 1 DEB,TIROS 9,US,1965-01-22
1965-005,ATLAS AGENA D R/B,OPS 4703,US,1965-01-23
1965-006,SL-7 R/B|SL-7 DEB,COSMOS 53,CIS,1965-01-30
1965-007,DELTA 1 R/B,OSO 2,US,1965-02-03
1965-008,TITAN 3A TRANSTAGE R/B,TITAN 3A (TRUSS)|LES 1,US,1965-02-11
1965-009,APOLLO MODEL 3,PEGASUS 1,US,1965-02-16
1965-010,ATLAS AGENA B R/B,RANGER 8,US,1965-02-17
1965-011,SL-8 R/B|SL-8 DEB,COSMOS 54|COSMOS 55|COSMOS 56,CIS,1965-02-21
1965-012,COSMOS 57 DEB|SL-4 R/B|COSMOS 57 DEB,COSMOS 57,CIS,1965-02-22
1965-013,OPS 4782 DEB,OPS 4782,US,1965-02-25
1965-014,SL-3 R/B,COSMOS 58,CIS,1965-02-26
1965-015,SL-3 R/B|SL-3 DEB,COSMOS 59,CIS,1965-03-07
1965-016,THOR AGENA D R/B|OPS 4988 DEB,OPS 4988 (GREB 6)|GGSE 2|GGSE 3|SOLRAD 7B|SECOR 3|OSCAR 3 (OSCAR III)|SURCAL 2|PORCUPINE 1,US,1965-03-09
1965-017,THOR ABLESTAR R/B|THOR ABLESTAR DEB,OPS 7087|SECOR 2 (EGRS 2),US,1965-03-11
1965-018,SL-6 R/B|SL-6 DEB,COSMOS 60,CIS,1965-03-12
1965-019,ATLAS AGENA D R/B|ATLAS AGENA D DEB,OPS 4920,US,1965-03-12
1965-020,SL-8 DEB|SL-8 R/B|SL-8 DEB,COSMOS 61|COSMOS 62|COSMOS 63,CIS,1965-03-15
1965-021,THOR ALTAIR DEB|THOR ALTAIR R/B|THOR ALTAIR DEB,OPS 7353,US,1965-03-18
1965-022,SL-4 R/B|SL-4 DEB,VOSKHOD 2,CIS,1965-03-18
1965-023,ATLAS AGENA B R/B,RANGER 9,US,1965-03-21
1965-024,TITAN 2 R/B,GEMINI 3,US,1965-03-23
1965-025,SL-4 R/B|SL-4 DEB,COSMOS 64,CIS,1965-03-25
1965-026,OPS 4803 DEB,OPS 4803,US,1965-03-25
1965-027,OPS 4682 DEB,OPS 4682 (SNAPSHOT)|SECOR 4 (EGRS 4),US,1965-04-03
1965-028,DELTA 1 R/B(2),INTELSAT 1-F1,ITSO,1965-04-06
1965-029,SL-3 R/B|SL-3 DEB,COSMOS 65,CIS,1965-04-17
1965-030,SL-6 PLAT|SL-6 R/B(1)|SL-6 R/B(2),MOLNIYA 1-1,CIS,1965-04-23
1965-031,OPS 4983 DEB|OPS 6717 DEB,OPS 4983|OPS 6717,US,1965-04-28
1965-032,SCOUT X-4 R/B|SCOUT X-4 DEB,EXPLORER 27,US,1965-04-29
1965-033,N/A,OPS 5023 (1)|OPS 5023 (2),US,1965-04-29
1965-034,TITAN 3A TRANSTAGE R/B|LES 2 DEB,LES 2|LCS 1,US,1965-05-06
1965-035,SL-3 R/B|SL-3 DEB,COSMOS 66,CIS,1965-05-07
1965-036,SL-6 PLAT|SL-6 R/B,LUNIK 5,CIS,1965-05-09
1965-037,OPS 8431 DEB,OPS 8431,US,1965-05-18
1965-038,THOR ALTAIR R/B|THOR ALTAIR DEB,OPS 8386,US,1965-05-20
1965-039,APOLLO MODEL 4,PEGASUS 2,US,1965-05-25
1965-040,SL-3 R/B|SL-3 DEB,COSMOS 67,CIS,1965-05-25
1965-041,N/A,OPS 5236,US,1965-05-27
1965-042,N/A,EXPLORER 28 (IMP-3),US,1965-05-29
1965-043,TITAN 2 R/B,GEMINI 4,US,1965-06-03
1965-044,SL-6 PLAT|SL-6 R/B,LUNIK 6,CIS,1965-06-08
1965-045,OPS 8425 DEB,OPS 8425,US,1965-06-09
1965-046,SL-3 R/B|SL-3 DEB,COSMOS 68,CIS,1965-06-15
1965-047,TITAN 3C TRANSTAGE R/B,LEAD BALLAST,US,1965-06-18
1965-048,THOR ABLESTAR R/B|THOR ABLESTAR DEB|TRANSIT 5B-6 DEB,OPS 8480 (TRANSIT 5B-6),US,1965-06-24
1965-049,SL-3 R/B|SL-3 DEB,COSMOS 69,CIS,1965-06-25
1965-050,ATLAS AGENA D R/B|OPS 6749 DEB,OPS 6749|OPS 5501,US,1965-06-25
1965-051,DELTA 1 R/B|DELTA 1 DEB,TIROS 10,US,1965-07-02
1965-052,SL-7 R/B|SL-7 DEB,COSMOS 70,CIS,1965-07-02
1965-053,SL-8 R/B|SL-8 DEB,COSMOS 71|COSMOS 72|COSMOS 73|COSMOS 74|COSMOS 75,CIS,1965-07-16
1965-054,SL-9 R/B|SL-9 DEB,PROTON 1,CIS,1965-07-16
1965-055,OPS 8411 DEB,OPS 8411,US,1965-07-17
1965-056,SL-6 R/B|SL-6 PLAT,ZOND 3,CIS,1965-07-18
1965-057,N/A,OPS 5543,US,1965-07-19
1965-058,ATLAS AGENA D R/B,OPS 6577 (VELA 5)|OPS 6564 (VELA 6)|ERS 17,US,1965-07-20
1965-059,SL-7 R/B,COSMOS 76,CIS,1965-07-23
1965-060,APOLLO MODEL 5|PEGASUS 3 DEB,PEGASUS 3,US,1965-07-30
1965-061,SL-3 R/B,COSMOS 77,CIS,1965-08-03
1965-062,ATLAS AGENA D R/B,OPS 5698|OPS 6761,US,1965-08-03
1965-063,SCOUT B DEB|SCOUT B R/B|SCOUT B DEB,SECOR 5 (EGRS 5),US,1965-08-10
1965-064,N/A,SURVEYOR MODEL 1,US,1965-08-11
1965-065,THOR ABLESTAR DEB|THOR ABLESTAR R/B|THOR ABLESTAR DEB|OPS 8464 DEB|TRANSIT 5B-7 DEB|THOR ABLESTAR DEB|TRANSIT 5B-7 DEB,DODECAPOLE 2|TEMPSAT 1|OPS 8464 (TRANSIT 5B-7)|NAVSPASUR ROD 1|CALSPHERE 4A|PORCUPINE 2,US,1965-08-13
1965-066,SL-3 R/B|SL-3 DEB,COSMOS 78,CIS,1965-08-14
1965-067,N/A,OPS 7208,US,1965-08-17
